(228,-229)
(191,-200)
(168,-198)
(179,-197)
(188,-195)
(126,-200)
(199,-193)
(136,-198)
(143,-197)
(154,-195)
(110,-199)
(159,-194)
(189,-191)
(116,-198)
(153,-194)
(132,-196)
(109,-198)
(179,-190)
(169,-191)
(107,-197)
(155,-192)
(110,-196)
(145,-192)
(143,-192)
(92,-197)
(108,-195)
(117,-194)
(123,-193)
(177,-187)
(103,-195)
(107,-194)
(124,-192)
(194,-184)
(139,-190)
(155,-188)
(172,-186)
(198,-183)
(50,-199)
(176,-184)
(94,-193)
(157,-185)
(94,-192)
(159,-184)
(158,-184)
(97,-191)
(132,-186)
(80,-192)
(118,-186)
(94,-189)
(144,-182)
(192,-175)
(199,-174)
(43,-195)
(188,-175)
(48,-194)
(76,-190)
(127,-183)
(111,-185)
(60,-192)
(116,-184)
(35,-195)
(186,-174)
(150,-179)
(149,-179)
(84,-188)
(47,-192)
(151,-177)
(150,-177)
(129,-180)
(25,-195)
(184,-172)
(94,-185)
(175,-173)
(2,-198)
(43,-192)
(76,-187)
(134,-178)
(189,-169)
(142,-176)
(100,-182)
(-13,-199)
(98,-182)
(137,-176)
(76,-185)
(193,-167)
(166,-171)
(22,-193)
(182,-168)
(111,-179)
(-12,-198)
(94,-181)
(81,-183)
(195,-165)
(104,-179)
(77,-183)
(144,-172)
(-19,-198)
(192,-164)
(104,-178)
(84,-181)
(10,-193)
(-3,-195)
(175,-166)
(-29,-199)
(19,-191)
(-13,-196)
(160,-167)
(165,-166)
(9,-192)
(3,-193)
(80,-180)
(68,-182)
(191,-161)
(195,-160)
(152,-167)
(43,-185)
(99,-175)
(107,-173)
(-13,-194)
(-36,-198)
(25,-187)
(98,-174)
(193,-157)
(68,-179)
(96,-174)
(50,-182)
(160,-162)
(121,-169)
(4,-190)
(92,-174)
(190,-156)
(18,-187)
(155,-162)
(111,-170)
(170,-159)
(48,-181)
(90,-173)
(105,-170)
(94,-172)
(-30,-195)
(178,-156)
(177,-156)
(43,-181)
(139,-163)
(171,-157)
(74,-175)
(175,-156)
(164,-158)
(137,-163)
