(226,-226)
(195,-199)
(124,-197)
(152,-194)
(92,-199)
(117,-195)
(112,-194)
(78,-197)
(173,-185)
(172,-185)
(127,-190)
(177,-184)
(88,-194)
(140,-187)
(197,-179)
(99,-191)
(59,-196)
(98,-191)
(46,-196)
(82,-190)
(44,-194)
(155,-177)
(94,-185)
(188,-171)
(127,-179)
(166,-170)
(145,-172)
(167,-167)
(88,-180)
(16,-192)
(140,-170)
(67,-182)
(77,-179)
(22,-188)
(21,-188)
(23,-187)
(131,-166)
(192,-154)
(-39,-197)
(158,-159)
(-45,-198)
(115,-167)
(106,-168)
(80,-173)
(-43,-197)
(52,-178)
(119,-163)
(-59,-199)
(77,-171)
(169,-152)
(178,-150)
(157,-154)
(94,-165)
(108,-162)
(-18,-187)
(43,-173)
(-34,-190)
(-71,-198)
(119,-154)
(199,-135)
(-62,-195)
(86,-160)
(136,-145)
(195,-129)
(0,-177)
(192,-129)
(104,-150)
(182,-128)
(-50,-188)
(-35,-184)
(188,-125)
(123,-142)
(-22,-180)
(163,-130)
(79,-152)
(180,-124)
(21,-164)
(-103,-199)
(50,-155)
(1,-168)
(157,-122)
(37,-157)
(166,-118)
(-10,-170)
(-85,-192)
(153,-120)
(56,-149)
(98,-136)
(107,-133)
(133,-125)
(188,-107)
(-60,-183)
(153,-116)
(-40,-176)
(186,-103)
(72,-139)
(62,-142)
(117,-122)
(-3,-161)
(-110,-196)
(168,-104)
(191,-95)
(151,-108)
(191,-93)
(111,-120)
(57,-137)
(-79,-183)
(142,-104)
(63,-131)
(26,-144)
(170,-91)
(157,-95)
(36,-139)
(158,-94)
(17,-145)
(-52,-170)
(15,-145)
(111,-109)
(132,-100)
(134,-99)
(-15,-155)
(160,-87)
(183,-78)
(-29,-159)
(145,-92)
(170,-82)
(-33,-160)
(-85,-180)
(-33,-159)
(7,-143)
(166,-80)
(-131,-197)
(-57,-167)
(-90,-180)
(80,-111)
(175,-71)
(47,-123)
(-90,-179)
(144,-82)
(75,-110)
(87,-105)
(58,-117)
(166,-72)
(-111,-187)
(-97,-181)
(-109,-186)
(-112,-187)
(119,-88)
(167,-67)
(173,-64)
(40,-121)
(118,-86)
(91,-97)
(150,-71)
(119,-83)
(189,-52)
(-26,-147)
(96,-93)
(71,-104)
(-49,-156)
(134,-72)
(-115,-185)
(-67,-163)
(24,-121)
(17,-124)
(45,-110)
(50,-107)
(83,-91)
(140,-64)
(-52,-154)
(80,-92)
(134,-66)
(49,-106)
(102,-80)
(146,-59)
(119,-71)
(148,-57)
(-53,-153)
(67,-95)
(194,-33)
(111,-72)
(-65,-157)
(132,-59)
(-89,-168)
(38,-105)
(-77,-162)
(108,-69)
(140,-53)
(21,-112)
(-78,-161)
(50,-96)
(195,-22)
(-118,-181)
(103,-67)
(181,-26)
(142,-46)
(-58,-149)
(194,-18)
(-124,-183)
(190,-19)
(151,-39)
(-48,-143)
(150,-39)
(-14,-125)
(15,-108)
(179,-20)
(-57,-146)
(69,-77)
(189,-12)
(-13,-121)
(28,-98)
(-152,-196)
(41,-90)
(104,-53)
(93,-59)
(176,-12)
(152,-25)
(83,-63)
(168,-15)
(-28,-125)
(129,-36)
(-107,-169)
(-40,-130)
(-70,-146)
(-2,-106)
(65,-66)
(24,-90)
(-23,-117)
(41,-79)
(34,-83)
(197,14)
(-4,-105)
(73,-59)
(137,-18)
(189,14)
(-51,-131)
(152,-7)
(-147,-189)
(101,-37)
(-69,-141)
(53,-65)
(184,16)
(132,-13)
(139,-8)
(63,-55)
(115,-22)
(-159,-195)
(162,8)
(136,-8)
(199,32)
(112,-23)
(23,-79)
(104,-27)
(129,-11)
(-143,-184)
(-139,-181)
(64,-49)
(-30,-110)
(76,-41)
(17,-79)
(-3,-92)
(111,-17)
(149,8)
(68,-45)
(25,-73)
(-44,-118)
(-25,-105)
(53,-53)
(-38,-113)
(93,-26)
(100,-21)
(68,-42)
(-75,-137)
(36,-63)
(15,-77)
(-114,-163)
(98,-20)
(-48,-118)
(180,37)
(173,33)
(-94,-148)
(166,29)
(190,46)
(-49,-117)
(-11,-91)
(116,-3)
(76,-30)
(96,-16)
(93,-18)
(-46,-113)
(190,51)
(60,-39)
(-127,-169)
(103,-7)
(152,32)
(188,61)
(-24,-92)
(-147,-181)
(168,48)
(81,-15)
(107,5)
(-122,-162)
(156,43)
(126,21)
(197,75)
(190,71)
(-5,-74)
(-133,-169)
(-5,-73)
(154,47)
(-131,-167)
(121,23)
(-61,-114)
(196,80)
(186,74)
(165,59)
(88,1)
(173,66)
(-9,-72)
(-30,-88)
(-64,-114)
(189,82)
(103,16)
(109,21)
(-46,-99)
(10,-55)
(-157,-185)
(158,61)
(-68,-115)
(-165,-191)
(27,-40)
(43,-27)
(78,1)
(7,-54)
(140,52)
(198,99)
(15,-46)
(199,102)
(-104,-141)
(-68,-112)
(-93,-132)
(178,87)
(158,71)
(98,23)
(39,-24)
(-131,-162)
(-51,-97)
(72,3)
(59,-7)
(143,62)
(161,77)
(19,-39)
(116,41)
(122,46)
(92,22)
(193,107)
(148,70)
(51,-10)
(121,48)
(-63,-104)
(44,-15)
(121,49)
(109,40)
(-83,-120)
(13,-39)
(85,22)
(162,88)
(121,54)
(73,14)
(148,78)
(196,119)
(157,86)
(-16,-61)
(-109,-140)
(186,112)
(178,107)
(11,-36)
(-83,-116)
(-66,-101)
(147,84)
(121,63)
(129,70)
(-129,-155)
(65,15)
(156,97)
(142,87)
(28,-14)
(161,106)
(159,105)
(108,61)
(134,85)
(96,51)
(14,-23)
(97,53)
(65,24)
(164,114)
(36,-2)
(-71,-99)
(121,76)
(56,17)
(184,134)
(70,30)
(188,138)
(120,76)
(145,99)
(35,-1)
(191,142)
(-42,-71)
(-15,-46)
(78,40)
(49,14)
(-108,-131)
(-148,-168)
(127,87)
(74,38)
(121,82)
(96,59)
(160,119)
(10,-20)
(-88,-111)
(193,153)
(147,110)
(151,115)
(111,78)
(186,150)
(110,79)
(-75,-96)
(43,17)
(-50,-72)
(146,116)
(-91,-111)
(175,145)
(-107,-126)
(139,111)
(-76,-96)
(-13,-33)
